# nelements, hs, l2errs
1.000000000000000000e+01,3.333333333333333287e-02,1.123311744935173255e-07
2.000000000000000000e+01,1.666666666666666644e-02,6.811998113500640043e-09
4.000000000000000000e+01,8.333333333333333218e-03,4.193617156159279135e-10
8.000000000000000000e+01,4.166666666666666609e-03,2.743522190248626802e-11
1.600000000000000000e+02,2.083333333333333304e-03,1.671789857088719748e-11
3.200000000000000000e+02,1.041666666666666652e-03,6.846804111468210102e-11
6.400000000000000000e+02,5.208333333333333261e-04,3.245293462267266775e-10
