# nelements, hs, l2errs
1.000000000000000000e+01,5.000000000000000278e-02,5.510526943651435272e-06
2.000000000000000000e+01,2.500000000000000139e-02,4.626090410763477911e-07
4.000000000000000000e+01,1.250000000000000069e-02,3.931616290608361574e-08
8.000000000000000000e+01,6.250000000000000347e-03,3.383073873192251341e-09
1.600000000000000000e+02,3.125000000000000173e-03,2.939799693746143092e-10
3.200000000000000000e+02,1.562500000000000087e-03,2.665424124680824328e-11
