# nelements, hs, l2errs
1.000000000000000000e+01,1.000000000000000056e-01,6.633289607583050824e-04
2.000000000000000000e+01,5.000000000000000278e-02,1.680602255738774349e-04
4.000000000000000000e+01,2.500000000000000139e-02,4.215609678120053373e-05
8.000000000000000000e+01,1.250000000000000069e-02,1.054786538477854700e-05
1.600000000000000000e+02,6.250000000000000347e-03,2.637519115693326684e-06
3.200000000000000000e+02,3.125000000000000173e-03,6.594141030845430013e-07
